现代科技与人工智能:张丹
审计学:蔡利/蔡春
编译原理:黄鹂
数据挖掘:邱江涛
密码学:苏为
自然语言处理:赵宇/陈中普
大数据技术:范江波
云计算:周峰
大数据可视化:陈小龙
机器学习:彭博/邱甲贤
