中国传统文化概论:崔雪茹
毛泽东思想和中国特色社会主义理论体系概论:宋婧琳
习近平新时代中国特色社会主义思想概论:于小杏
形势与政策教育:李思雨/张太富
创业管理:陈海啸
组织行为学:甘元霞
金融科技:徐亮/赵奕奕/唐静静/熊健/邱甲贤/赵琳/寇纲
钢琴弹奏教程:胡薇薇
足球4:简家俊
